pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,random_trial.started,Fixation_2.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation_2.stopped,Probe_2.started,Key_Resp.started,random_trial.stopped,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,5,0,20,0,,,,,69.92622239998309,,69.91298860003008,69.92622239998309,70.92602269997587,70.92602269997587,70.92602269997587,70.92602269997587,70.92602269997587,71.92591099999845,71.92591099999845,73.6267234000261,x,1,1.6838942000176758,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,5,1,21,1,,,,,73.64194340002723,,73.62948719999986,73.64194340002723,74.64292060001753,74.64292060001753,74.64292060001753,74.64292060001753,74.64292060001753,75.64209099998698,75.64209099998698,77.87758510001004,v,1,2.2300698999897577,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
50,c,5,2,22,2,,,,,77.89162409998244,,77.87964689999353,77.89162409998244,78.8930634999997,78.8930634999997,78.8930634999997,78.8930634999997,78.8930634999997,79.89214680000441,79.89214680000441,80.6772551999893,c,1,0.7719367999816313,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-150,z,5,3,23,3,,,,,80.69173329998739,,80.67933800001629,80.69173329998739,81.6925888999831,81.6925888999831,81.6925888999831,81.6925888999831,81.6925888999831,82.69206740002846,82.69206740002846,83.69397550000576,z,1,0.9968252000398934,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-50,x,6,0,24,0,,,,,83.70893500000238,,83.69571729999734,83.70893500000238,84.70890109997708,84.70890109997708,84.70890109997708,84.70890109997708,84.70890109997708,85.70844379998744,85.70844379998744,87.06058410002152,x,1,1.345458400028292,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,6,1,25,1,,,,,87.07504989998415,,87.06274480000138,87.07504989998415,88.07567859999835,88.07567859999835,88.07567859999835,88.07567859999835,88.07567859999835,89.07504490000429,89.07504490000429,90.66026710002916,v,1,1.5741863999865018,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
50,c,6,2,26,2,,,,,90.67500470002415,,90.6623328999849,90.67500470002415,91.67663669999456,91.67663669999456,91.67663669999456,91.67663669999456,91.67663669999456,92.67535620002309,92.67535620002309,93.39388069999404,c,1,0.7043631999986246,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-150,z,6,3,27,3,,,,,93.40835799998604,,93.39594140002737,93.40835799998604,94.40866499999538,94.40866499999538,94.40866499999538,94.40866499999538,94.40866499999538,95.40884669998195,95.40884669998195,96.26092209998751,z,1,0.8446839000098407,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-50,x,7,0,28,0,,,,,96.2751173999859,,96.26303329999791,96.2751173999859,97.27631129999645,97.27631129999645,97.27631129999645,97.27631129999645,97.27631129999645,98.27533089998178,98.27533089998178,99.19434500002535,x,1,0.913099599943962,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,7,1,29,1,,,,,99.20870150002884,,99.196341199975,99.20870150002884,100.20894330000738,100.20894330000738,100.20894330000738,100.20894330000738,100.20894330000738,101.2092061000294,101.2092061000294,102.29393260000506,v,1,1.0758416999597102,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
50,c,7,2,30,2,,,,,102.30856460001087,,102.29589040001156,102.30856460001087,103.30976789997658,103.30976789997658,103.30976789997658,103.30976789997658,103.30976789997658,104.30878710001707,104.30878710001707,105.12719899998046,c,1,0.8073050000239164,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-150,z,7,3,31,3,,,,,105.14193620003061,,105.12905930000124,105.14193620003061,106.14264510001522,106.14264510001522,106.14264510001522,106.14264510001522,106.14264510001522,107.14199049997842,107.14199049997842,107.99391520000063,z,1,0.8449421999976039,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-50,x,8,0,32,0,,,,,108.0086196999764,,107.99605930002872,108.0086196999764,109.00905160000548,109.00905160000548,109.00905160000548,109.00905160000548,109.00905160000548,110.00916690001031,110.00916690001031,110.31022500002291,x,1,0.29396670003188774,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,8,1,33,1,,,,,110.32536040002014,,110.31216969998786,110.32536040002014,111.32643399998778,111.32643399998778,111.32643399998778,111.32643399998778,111.32643399998778,112.32501319999574,112.32501319999574,112.5945474000182,v,1,0.26036429998930544,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
50,c,8,2,34,2,,,,,112.60860789997969,,112.59679859998869,112.60860789997969,113.60946700000204,113.60946700000204,113.60946700000204,113.60946700000204,113.60946700000204,114.60849369998323,114.60849369998323,114.92683359998045,c,1,0.30103129998315126,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-150,z,8,3,35,3,,,,,114.94173620000947,,114.92880930000683,114.94173620000947,115.9424514999846,115.9424514999846,115.9424514999846,115.9424514999846,115.9424514999846,116.94186149997404,116.94186149997404,117.24390649999259,z,1,0.285893699969165,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-50,x,9,0,36,0,,,,,117.25864890002413,,117.24678159999894,117.25864890002413,118.25936450000154,118.25936450000154,118.25936450000154,118.25936450000154,118.25936450000154,119.25943570001982,119.25943570001982,119.74467210000148,x,1,0.4809248999808915,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,9,1,37,1,,,,,119.7588606000063,,119.74645029997919,119.7588606000063,120.75882889999775,120.75882889999775,120.75882889999775,120.75882889999775,120.75882889999775,121.75904500001343,121.75904500001343,122.01028410001891,v,1,0.24130609998246655,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
50,c,9,2,38,2,,,,,122.0254279000219,,122.01219290000154,122.0254279000219,123.0258363999892,123.0258363999892,123.0258363999892,123.0258363999892,123.0258363999892,124.02613630000269,124.02613630000269,124.34405489999335,c,1,0.30476050003198907,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
